model,category,national_origin,type,launch_platform,name,name_NATO,guidance_system,features,unit_cost,produced,manufacturer
Unknown Missile,cruise missile,,,,,,,,,,
X-22 and X-32,cruise missile,russia,,,,,,,,,
C-300/C-400,surface-to-air missile,russia,,,,,,,,,
X-101/X-555 and Kalibr,cruise missile,russia,,,,,,,,,
X-59/X-69,cruise missile,russia,,,,,,,,,
X-59,cruise missile,russia,air-to-surface,"Su-30MK, Su-24M, MiG-27, Su-17M3/22M4, HAL Tejas, Su-30 MKI, Su-25, Su-30",Kh-59 Ovod,AS-13 'Kingbolt',,,,,
X-59MK2,cruise missile,russia,land-attack,Su-57,Kh-59MK2,AS-22,,,,,
Kalibr,cruise missile,russia,,"naval ships, submarines, containers, airplanes, TEL",Kalibr,SS-N-27 Sizzler,,,,,
X-101/X-555,cruise missile,russia,air-launched,"Tu-95MS, Tu-160, Su-34",Kh-101/Kh-555,Kent-C,,,,,
X-22,cruise missile,russia,air-to-surface,"Tu-22M, Тu-22К, Тu-95К22",Kh-22,AS-4 'Kitchen',,,,,
X-32,cruise missile,russia,air-to-surface,Tu-22M3M,Kh-32,AS-4 'Kitchen',,,,,
X-31,cruise missile,russia,air-to-surface,"Su-27SM, Su-30MKI, Su-25, Su-34, Su-35, MiG-29M, HAL Tejas, MiG-29K, Su-24M, Su-33",Kh-31,AS-17 'Krypton',,,,,
X-31P,cruise missile,russia,anti-radiation,"Su-27SM, Su-30MKI, Su-25, Su-34, Su-35, MiG-29M, HAL Tejas, MiG-29K, Su-24M, Su-33",Kh-31P,AS-17 'Krypton',,,,,
X-35,cruise missile,russia,air-to-surface,"Tu-142, Su-24, MiG-29M/K",Kh-35,AS-20 'Kayak',,,,,
X-47 Kinzhal,cruise missile,russia,air-launched ballistic,"MiG-31BM/K, Tu-22M3M, Su‐57",Kh-47 Kinzhal,Killjoy,,,,,
P-800 Oniks,cruise missile,russia,anti-ship,"coastal installations, naval ships, fixed-wing aircraft",P-800 Onyx,SS-N-26 'Strobile',,,,,
KAB,guided bomb,russia,,,KAB,,,,,,
C-300,surface-to-air missile,russia,,,S-300,SA-10 Grumble,,,,,
C-400,surface-to-air missile,russia,,,S-400 Triumf,SA-21 Growler,,,,,
Iskander-K,cruise missile,russia,,9K720 Iskander,Iskander-K,,"Inertial, optical DSMAC",,,,
Iskander-M,ballistic missile,russia,TV-guided,9K720 Iskander,Iskander-M,,TERCOM,,,,
3M22 Zircon,cruise missile,russia,,ZS-14,Zircon,SS-N-33,,"anti-ship, hypersonic, submarine-launched, land-attack, scramjet-powered, nuclear-capable",~10 million USD,2021,NPO Mashinostroyeniya
Unknown UAV,UAV,,,,,,,,,,
Reconnaissance UAV,UAV,,reconnaissance,,,,,,,,
Orlan-10 and ZALA,UAV,russia,reconnaissance,,,,,,,,
Orlan-10 and Supercam,UAV,russia,reconnaissance,,,,,,,,
Orlan-10 and ZALA and Supercam,UAV,russia,reconnaissance,,,,,,,,
Orlan-10 and Orlan-30 and ZALA and Supercam,UAV,russia,reconnaissance,,,,,,,,
Lancet,UAV,russia,loitering munition,,,,,,,,ZALA Aero Group
Shahed-136/131,UAV,iran,loitering munition,,,,,,,,Shahed Aviation Industries
Mohajer-6,UAV,iran,multirole ISTAR,,,,,,,,Qods Aviation Industry Company
Orlan-10,UAV,russia,reconnaissance,,,,,,,,Special Technology Center
Orlan-30,UAV,russia,reconnaissance,,,,,,,,Special Technology Center
Merlin-VR,UAV,russia,reconnaissance,,,,,,,,
Orion,UAV,russia,reconnaissance and armed,,,,,,,,Kronstadt Group
Granat-4,UAV,russia,reconnaissance,,,,,,,,Ижмаш – беспилотные системы
Supercam,UAV,russia,reconnaissance,,,,,,,,Unmanned Systems Group
ZALA,UAV,russia,reconnaissance,,,,,,,,ZALA Aero Group
Forpost,UAV,russia,reconnaissance,,,,,,,,
