,week,launched,share_with_ukraine,a3_share_with_ukraine,la6_share_with_ukraine,t5_share_with_ukraine,fatalities,a3_war_share_out_of_total,la6_war_share_out_of_total,t5_war_share_out_of_total,count_class_one,total_seconds,combined_war_share_out_of_total,a3_share_class_1,la6_share_class_1,t5_share_class_1,total_share_class_1
0,2022-12-05,99.0,0.08255659121171771,0.08225108225108226,0.08176100628930817,0.08415841584158416,313,0.01893939393939394,0.01750524109014675,0.012623762376237625,562.0,35160,0.015984072810011376,0.15560165975103735,0.2131461391193363,0.14883268482490272,0.18264543386415338
1,2022-12-12,116.0,0.03867403314917127,0.048458149779735685,0.04642857142857143,0.018433179723502304,282,0.007407407407407408,0.007883817427385892,0.004608294930875576,190.0,29640,0.00641025641025641,0.26229508196721313,0.17194570135746606,0.24691358024691357,0.19648397104446744
2,2022-12-19,38.0,0.08870967741935484,0.115,0.07258064516129033,0.08139534883720931,646,0.018333333333333333,0.018481182795698926,0.01627906976744186,663.0,37200,0.01782258064516129,0.15907447577729572,0.2532228360957643,0.19858156028368795,0.2
3,2022-12-26,156.0,0.07796101949025487,0.13125,0.051351351351351354,0.08759124087591241,972,0.02585034013605442,0.011039657020364416,0.02579075425790754,570.0,32760,0.0173992673992674,0.16870144284128746,0.18951241950321987,0.2924137931034483,0.21009952082565425
4,2023-01-02,41.0,0.07658959537572255,0.07425742574257425,0.08812260536398467,0.06550218340611354,211,0.0072839506172839505,0.024265644955300127,0.012809315866084425,615.0,37500,0.0164,0.12266112266112267,0.2743682310469314,0.1934065934065934,0.22154178674351585
5,2023-01-09,42.0,0.07964601769911504,0.10526315789473684,0.060836501901140684,0.07142857142857142,344,0.030324074074074073,0.02167300380228137,0.028273809523809524,1020.0,38820,0.02627511591962906,0.29682779456193353,0.3536711478800414,0.3914835164835165,0.3378602186154356
6,2023-01-16,2.0,0.09408602150537634,0.16393442622950818,0.06040268456375839,0.0594059405940594,237,0.034102564102564105,0.021140939597315438,0.0165016501650165,711.0,33900,0.02097345132743363,0.2765072765072765,0.34838709677419355,0.27548209366391185,0.3102094240837696
7,2023-01-23,83.0,0.15147453083109919,0.23170731707317074,0.11221122112211221,0.1116751269035533,209,0.01746987951807229,0.03943894389438944,0.0350253807106599,1218.0,34980,0.03481989708404803,0.36099585062240663,0.3497560975609756,0.3110443275732532,0.33627829928216457
8,2023-02-06,139.0,0.061452513966480445,0.07024793388429752,0.06188925081433225,0.04790419161676647,153,,0.019326818675352877,0.009880239520958085,455.0,28440,0.0159985935302391,,0.31037489102005233,0.20454545454545456,0.27896995708154504
9,2023-02-13,40.0,0.15395894428152493,0.23696682464454977,0.10424710424710425,0.1320754716981132,179,,0.0231016731016731,0.03011006289308176,742.0,28260,0.026256192498230715,,0.22065150583896742,0.22635933806146571,0.22356131364868936
10,2023-02-27,18.0,0.08835341365461848,0.12448132780082988,0.049342105263157895,0.10396039603960396,261,0.027419354838709678,0.015350877192982455,0.03061056105610561,702.0,32220,0.021787709497206705,0.281767955801105,0.30837004405286345,0.2923561859732072,0.29770992366412213
11,2023-03-06,106.0,0.07818930041152264,0.10548523206751055,0.05405405405405406,0.08163265306122448,161,,0.01756756756756757,0.03282312925170068,698.0,29520,0.0236449864498645,,0.3280757097791798,0.39834881320949433,0.36354166666666665
12,2023-03-13,20.0,0.11218836565096953,0.13043478260869565,0.1,0.109375,192,,0.02627777777777778,0.027864583333333335,794.0,29520,0.0268970189701897,,0.2616150442477876,0.25255704169944926,0.2578759337447223
13,2023-03-20,25.0,0.09874826147426982,0.09251101321585903,0.10101010101010101,0.10256410256410256,175,,0.019977553310886645,0.020085470085470087,591.0,29520,0.020020325203252032,,0.19690265486725664,0.19421487603305784,0.19582504970178927
